,Unnamed: 0,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
28,28,풋고추,242,오이맛고추(100g),4,상품,4,100g,당일 (11/01),1813.0,1일전 (10/31),"1,813",1주일전 (10/25),1810.0,2주일전 (10/18),1465.0,1개월전,1304.0,1년전,1187.0,일평년,"1,089",2024-11-01,0.1654715940430226,19.194704908990623,28.0750137892995,34.52840595697739
29,29,풋고추,242,오이맛고추(100g),4,중품,5,100g,당일 (11/01),1115.0,1일전 (10/31),"1,115",1주일전 (10/25),1100.0,2주일전 (10/18),,1개월전,,1년전,,일평년,-,2024-11-01,1.345291479820628,,,
30,30,붉은고추,243,붉은고추(100g),0,상품,4,100g,당일 (11/01),2748.0,1일전 (10/31),"2,748",1주일전 (10/25),2955.0,2주일전 (10/18),2353.0,1개월전,2479.0,1년전,1960.0,일평년,"1,922",2024-11-01,-7.532751091703056,14.374090247452692,9.788937409024745,28.675400291120816
31,31,양파,245,양파(1kg),0,상품,4,1kg,당일 (11/01),2400.0,1일전 (10/31),"2,400",1주일전 (10/25),2198.0,2주일전 (10/18),2053.0,1개월전,2138.0,1년전,2108.0,일평년,"2,193",2024-11-01,8.416666666666666,14.458333333333334,10.916666666666666,12.166666666666668
32,32,양파,245,양파(1kg),0,중품,5,1kg,당일 (11/01),,1일전 (10/31),-,1주일전 (10/25),1800.0,2주일전 (10/18),2030.0,1개월전,,1년전,1926.0,일평년,"1,848",2024-11-01,,,,
33,33,파,246,대파(1kg),0,상품,4,1kg,당일 (11/01),4275.0,1일전 (10/31),"4,275",1주일전 (10/25),4258.0,2주일전 (10/18),3533.0,1개월전,3453.0,1년전,3799.0,일평년,"3,365",2024-11-01,0.39766081871345027,17.35672514619883,19.228070175438596,11.134502923976608
34,34,파,246,대파(1kg),0,중품,5,1kg,당일 (11/01),2460.0,1일전 (10/31),"2,460",1주일전 (10/25),2600.0,2주일전 (10/18),2400.0,1개월전,2480.0,1년전,3068.0,일평년,"2,389",2024-11-01,-5.691056910569105,2.4390243902439024,-0.8130081300813009,-24.715447154471544
35,35,파,246,쪽파(1kg),2,상품,4,1kg,당일 (11/01),8360.0,1일전 (10/31),"8,243",1주일전 (10/25),9567.0,2주일전 (10/18),10493.0,1개월전,11227.0,1년전,6369.0,일평년,"6,469",2024-11-01,-14.437799043062203,-25.514354066985646,-34.29425837320574,23.81578947368421
36,36,생강,247,국산(1kg),0,상품,4,1kg,당일 (11/01),10820.0,1일전 (10/31),"10,820",1주일전 (10/25),11465.0,2주일전 (10/18),11540.0,1개월전,14872.0,1년전,11335.0,일평년,"10,153",2024-11-01,-5.961182994454713,-6.654343807763401,-37.44916820702403,-4.759704251386322
37,37,고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (11/01),30775.0,1일전 (10/31),"30,775",1주일전 (10/25),33975.0,2주일전 (10/18),32375.0,1개월전,34901.0,1년전,31471.0,일평년,"31,964",2024-11-01,-10.398050365556458,-5.199025182778229,-13.40698619008936,-2.2615759545085297
38,38,고춧가루,248,중국(1kg),1,상품,4,1kg,당일 (11/01),11650.0,1일전 (10/31),"11,650",1주일전 (10/25),11650.0,2주일전 (10/18),11050.0,1개월전,13396.0,1년전,13650.0,일평년,"12,139",2024-11-01,0.0,5.150214592274678,-14.987124463519313,-17.167381974248926
39,39,미나리,252,미나리(100g),0,상품,4,100g,당일 (11/01),1938.0,1일전 (10/31),"1,938",1주일전 (10/25),1988.0,2주일전 (10/18),2023.0,1개월전,2049.0,1년전,1459.0,일평년,"1,049",2024-11-01,-2.5799793601651184,-4.385964912280701,-5.727554179566564,24.71620227038184
40,40,깻잎,253,깻잎(100g),0,상품,4,100g,당일 (11/01),2775.0,1일전 (10/31),"2,775",1주일전 (10/25),2810.0,2주일전 (10/18),3640.0,1개월전,3766.0,1년전,2606.0,일평년,"2,310",2024-11-01,-1.2612612612612613,-31.17117117117117,-35.711711711711715,6.09009009009009
41,41,피망,255,청(100g),0,상품,4,100g,당일 (11/01),1777.0,1일전 (10/31),"1,777",1주일전 (10/25),1693.0,2주일전 (10/18),1410.0,1개월전,1674.0,1년전,1482.0,일평년,"1,112",2024-11-01,4.727068092290377,20.652785593697242,5.796285875070343,16.601012943162633
42,42,파프리카,256,파프리카(200g),0,상품,4,200g,당일 (11/01),2325.0,1일전 (10/31),"2,760",1주일전 (10/25),2460.0,2주일전 (10/18),2057.0,1개월전,2335.0,1년전,1933.0,일평년,"1,659",2024-11-01,-5.806451612903226,11.526881720430108,-0.43010752688172044,16.86021505376344
43,43,파프리카,256,파프리카(200g),0,중품,5,200g,당일 (11/01),1272.0,1일전 (10/31),"1,280",1주일전 (10/25),1342.0,2주일전 (10/18),1265.0,1개월전,1593.0,1년전,1374.0,일평년,"1,259",2024-11-01,-5.50314465408805,0.550314465408805,-25.235849056603776,-8.018867924528301
44,44,멜론,257,멜론(1개),0,상품,4,1개,당일 (11/01),11033.0,1일전 (10/31),"11,033",1주일전 (10/25),11467.0,2주일전 (10/18),11400.0,1개월전,10091.0,1년전,10640.0,일평년,"10,059",2024-11-01,-3.9336535847004446,-3.3263844829148916,8.538022296746126,3.5620411492794344
45,45,멜론,257,멜론(1개),0,중품,5,1개,당일 (11/01),9800.0,1일전 (10/31),"9,800",1주일전 (10/25),9800.0,2주일전 (10/18),,1개월전,,1년전,7052.0,일평년,"7,242",2024-11-01,0.0,,,28.04081632653061
46,46,깐마늘(국산),258,깐마늘(국산)(1kg),1,상품,4,1kg,당일 (11/01),9300.0,1일전 (10/31),"9,300",1주일전 (10/25),9280.0,2주일전 (10/18),8810.0,1개월전,10314.0,1년전,8690.0,일평년,"10,380",2024-11-01,0.21505376344086022,5.268817204301075,-10.903225806451614,6.559139784946237
47,47,깐마늘(국산),258,깐마늘(국산)(1kg),1,중품,5,1kg,당일 (11/01),6830.0,1일전 (10/31),"6,830",1주일전 (10/25),6830.0,2주일전 (10/18),6830.0,1개월전,7973.0,1년전,7832.0,일평년,"7,937",2024-11-01,0.0,0.0,-16.734992679355784,-14.670571010248901
48,48,절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/01),40867.0,1일전 (10/31),"42,850",1주일전 (10/25),,2주일전 (10/18),,1개월전,,1년전,45627.0,일평년,"45,627",2024-11-01,,,,-11.647539579611912
49,49,알배기배추,279,알배기배추(1포기),0,상품,4,1포기,당일 (11/01),4280.0,1일전 (10/31),"4,448",1주일전 (10/25),4698.0,2주일전 (10/18),4933.0,1개월전,5747.0,1년전,3603.0,일평년,"3,603",2024-11-01,-9.766355140186917,-15.257009345794392,-34.27570093457944,15.817757009345796
50,50,알배기배추,279,알배기배추(1포기),0,중품,5,1포기,당일 (11/01),2500.0,1일전 (10/31),"3,100",1주일전 (10/25),3100.0,2주일전 (10/18),3745.0,1개월전,3487.0,1년전,,일평년,-,2024-11-01,-24.0,-49.8,-39.48,
51,51,브로콜리,280,브로콜리(국산)(1개),0,상품,4,1개,당일 (11/01),3757.0,1일전 (10/31),"3,757",1주일전 (10/25),4057.0,2주일전 (10/18),3965.0,1개월전,4723.0,1년전,2471.0,일평년,"2,471",2024-11-01,-7.985094490284801,-5.536332179930796,-25.712004258717062,34.229438381687515
52,52,브로콜리,280,브로콜리(국산)(1개),0,중품,5,1개,당일 (11/01),,1일전 (10/31),-,1주일전 (10/25),4490.0,2주일전 (10/18),,1개월전,,1년전,,일평년,-,2024-11-01,,,,
53,53,방울토마토,422,방울토마토(1kg),1,상품,4,1kg,당일 (11/01),19900.0,1일전 (10/31),"19,900",1주일전 (10/25),19900.0,2주일전 (10/18),19900.0,1개월전,13025.0,1년전,12182.0,일평년,"8,694",2024-11-01,0.0,0.0,34.54773869346734,38.78391959798995
54,54,방울토마토,422,대추방울토마토(1kg),2,상품,4,1kg,당일 (11/01),12325.0,1일전 (10/31),"12,325",1주일전 (10/25),15275.0,2주일전 (10/18),13250.0,1개월전,14249.0,1년전,11239.0,일평년,"9,835",2024-11-01,-23.935091277890468,-7.505070993914807,-15.6105476673428,8.811359026369168
