,Unnamed: 0,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
30,30,파,246,쪽파(1kg),2,상품,4,1kg,당일 (11/01),4660.0,1일전 (10/31),"5,550",1주일전 (10/25),4660.0,2주일전 (10/18),6440.0,1개월전,11227.0,1년전,6369.0,일평년,"6,469",2024-11-01,0.0,-38.197424892703864,-140.92274678111588,-36.67381974248927
31,31,생강,247,국산(1kg),0,상품,4,1kg,당일 (11/01),8810.0,1일전 (10/31),"10,430",1주일전 (10/25),11100.0,2주일전 (10/18),14250.0,1개월전,14872.0,1년전,11335.0,일평년,"10,153",2024-11-01,-25.993189557321227,-61.74801362088536,-68.80817253121452,-28.66061293984109
32,32,고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (11/01),37550.0,1일전 (10/31),"37,550",1주일전 (10/25),37550.0,2주일전 (10/18),37550.0,1개월전,34901.0,1년전,31471.0,일평년,"31,964",2024-11-01,0.0,0.0,7.054593874833555,16.189081225033288
33,33,고춧가루,248,중국(1kg),1,상품,4,1kg,당일 (11/01),13150.0,1일전 (10/31),"13,150",1주일전 (10/25),13150.0,2주일전 (10/18),13150.0,1개월전,13396.0,1년전,13650.0,일평년,"12,139",2024-11-01,0.0,0.0,-1.8707224334600763,-3.802281368821293
34,34,미나리,252,미나리(100g),0,상품,4,100g,당일 (11/01),1535.0,1일전 (10/31),"1,620",1주일전 (10/25),1555.0,2주일전 (10/18),1555.0,1개월전,2049.0,1년전,1459.0,일평년,"1,049",2024-11-01,-1.3029315960912053,-1.3029315960912053,-33.48534201954397,4.951140065146579
35,35,깻잎,253,깻잎(100g),0,상품,4,100g,당일 (11/01),1945.0,1일전 (10/31),"2,050",1주일전 (10/25),2020.0,2주일전 (10/18),2680.0,1개월전,3766.0,1년전,2606.0,일평년,"2,310",2024-11-01,-3.8560411311053984,-37.789203084832906,-93.62467866323907,-33.984575835475574
36,36,피망,255,청(100g),0,상품,4,100g,당일 (11/01),1745.0,1일전 (10/31),"1,495",1주일전 (10/25),1460.0,2주일전 (10/18),1475.0,1개월전,1674.0,1년전,1482.0,일평년,"1,112",2024-11-01,16.332378223495702,15.472779369627506,4.0687679083094554,15.071633237822349
37,37,파프리카,256,파프리카(200g),0,상품,4,200g,당일 (11/01),1875.0,1일전 (10/31),"2,090",1주일전 (10/25),2140.0,2주일전 (10/18),2325.0,1개월전,2335.0,1년전,1933.0,일평년,"1,659",2024-11-01,-14.133333333333335,-24.0,-24.53333333333333,-3.0933333333333333
38,38,파프리카,256,파프리카(200g),0,중품,5,200g,당일 (11/01),1660.0,1일전 (10/31),"1,830",1주일전 (10/25),1830.0,2주일전 (10/18),1750.0,1개월전,1593.0,1년전,1374.0,일평년,"1,259",2024-11-01,-10.240963855421686,-5.421686746987952,4.036144578313253,17.2289156626506
39,39,멜론,257,멜론(1개),0,상품,4,1개,당일 (11/01),10400.0,1일전 (10/31),"10,400",1주일전 (10/25),10400.0,2주일전 (10/18),10400.0,1개월전,10091.0,1년전,10640.0,일평년,"10,059",2024-11-01,0.0,0.0,2.9711538461538463,-2.307692307692308
40,40,깐마늘(국산),258,깐마늘(국산)(1kg),1,상품,4,1kg,당일 (11/01),10380.0,1일전 (10/31),"10,380",1주일전 (10/25),10380.0,2주일전 (10/18),10380.0,1개월전,10314.0,1년전,8690.0,일평년,"10,380",2024-11-01,0.0,0.0,0.6358381502890174,16.28131021194605
41,41,깐마늘(국산),258,깐마늘(국산)(1kg),1,중품,5,1kg,당일 (11/01),7645.0,1일전 (10/31),"7,645",1주일전 (10/25),7645.0,2주일전 (10/18),7645.0,1개월전,7973.0,1년전,7832.0,일평년,"7,937",2024-11-01,0.0,0.0,-4.290385873119686,-2.446043165467626
42,42,절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/01),34800.0,1일전 (10/31),"34,800",1주일전 (10/25),,2주일전 (10/18),,1개월전,,1년전,45627.0,일평년,"45,627",2024-11-01,,,,-31.112068965517242
43,43,알배기배추,279,알배기배추(1포기),0,상품,4,1포기,당일 (11/01),3890.0,1일전 (10/31),"4,240",1주일전 (10/25),4320.0,2주일전 (10/18),4490.0,1개월전,5747.0,1년전,3603.0,일평년,"3,603",2024-11-01,-11.053984575835475,-15.424164524421593,-47.73778920308484,7.377892030848329
44,44,알배기배추,279,알배기배추(1포기),0,중품,5,1포기,당일 (11/01),3000.0,1일전 (10/31),"3,000",1주일전 (10/25),3000.0,2주일전 (10/18),3000.0,1개월전,3487.0,1년전,,일평년,-,2024-11-01,0.0,0.0,-16.233333333333334,
45,45,브로콜리,280,브로콜리(국산)(1개),0,상품,4,1개,당일 (11/01),3320.0,1일전 (10/31),"3,905",1주일전 (10/25),3905.0,2주일전 (10/18),4980.0,1개월전,4723.0,1년전,2471.0,일평년,"2,471",2024-11-01,-17.620481927710845,-50.0,-42.25903614457832,25.572289156626503
46,46,방울토마토,422,대추방울토마토(1kg),2,상품,4,1kg,당일 (11/01),12050.0,1일전 (10/31),"14,350",1주일전 (10/25),16050.0,2주일전 (10/18),17100.0,1개월전,14249.0,1년전,11239.0,일평년,"9,835",2024-11-01,-33.19502074688796,-41.90871369294606,-18.248962655601662,6.730290456431535
