,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
38,고춧가루,248,중국(1kg),01,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"14,150",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"13,396",1년전,"13,650",일평년,"12,139",2024-11-02
39,미나리,252,미나리(100g),00,상품,04,100g,당일 (11/02),-,1일전 (11/01),"1,946",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,049",1년전,"1,459",일평년,"1,049",2024-11-02
40,깻잎,253,깻잎(100g),00,상품,04,100g,당일 (11/02),-,1일전 (11/01),"3,052",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"3,766",1년전,"2,606",일평년,"2,310",2024-11-02
41,피망,255,청(100g),00,상품,04,100g,당일 (11/02),-,1일전 (11/01),"2,490",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,674",1년전,"1,482",일평년,"1,112",2024-11-02
42,파프리카,256,파프리카(200g),00,상품,04,200g,당일 (11/02),-,1일전 (11/01),"1,804",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,335",1년전,"1,933",일평년,"1,659",2024-11-02
43,파프리카,256,파프리카(200g),00,중품,05,200g,당일 (11/02),-,1일전 (11/01),"1,493",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,593",1년전,"1,374",일평년,"1,259",2024-11-02
44,멜론,257,멜론(1개),00,상품,04,1개,당일 (11/02),-,1일전 (11/01),"10,660",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"10,091",1년전,"10,640",일평년,"10,059",2024-11-02
45,멜론,257,멜론(1개),00,중품,05,1개,당일 (11/02),-,1일전 (11/01),"6,490",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,"7,052",일평년,"7,242",2024-11-02
46,깐마늘(국산),258,깐마늘(국산)(1kg),01,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"10,317",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"10,314",1년전,"8,690",일평년,"10,380",2024-11-02
47,깐마늘(국산),258,깐마늘(국산)(1kg),01,중품,05,1kg,당일 (11/02),-,1일전 (11/01),"8,760",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"7,973",1년전,"7,832",일평년,"7,937",2024-11-02
48,절임배추,266,가을(20kg),03,상품,04,20kg,당일 (11/02),-,1일전 (11/01),"71,083",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-02
49,절임배추,266,월동(20kg),04,상품,04,20kg,당일 (11/02),-,1일전 (11/01),"49,900",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,-,일평년,-,2024-11-02
50,알배기배추,279,알배기배추(1포기),00,상품,04,1포기,당일 (11/02),-,1일전 (11/01),"5,093",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"5,747",1년전,"3,603",일평년,"3,603",2024-11-02
51,알배기배추,279,알배기배추(1포기),00,중품,05,1포기,당일 (11/02),-,1일전 (11/01),"2,915",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"3,487",1년전,-,일평년,-,2024-11-02
52,브로콜리,280,브로콜리(국산)(1개),00,상품,04,1개,당일 (11/02),-,1일전 (11/01),"3,713",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"4,723",1년전,"2,471",일평년,"2,471",2024-11-02
53,방울토마토,422,방울토마토(1kg),01,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"16,125",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"13,025",1년전,"12,182",일평년,"8,694",2024-11-02
54,방울토마토,422,대추방울토마토(1kg),02,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"12,630",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"14,249",1년전,"11,239",일평년,"9,835",2024-11-02
